Date,Hillside OAT [F],Main Meter [kW],Boiler Gas [kBtu/hr]
1/23/2012 18:00,49.21,136.95,409.16
1/23/2012 19:00,49.18,119.02,363.68
1/23/2012 20:00,48.77,113.09,333.47
1/23/2012 21:00,48.26,113.73,291.27
1/23/2012 22:00,47.56,111.59,336.1
1/23/2012 23:00,46.4,111.81,356.38
1/24/2012 0:00,44.84,113.34,346.81
1/24/2012 1:00,44.47,113.91,426.48
1/24/2012 2:00,45.63,117.43,490.2
1/24/2012 3:00,45.63,115.68,572.33
1/24/2012 4:00,45.79,138.32,819.31
1/24/2012 5:00,46.06,145.59,1121.88
1/24/2012 6:00,44.52,154.37,1204.84
1/24/2012 7:00,44.53,167.04,1224.82
1/24/2012 8:00,46.85,187.76,1134.98
1/24/2012 9:00,50.35,204.28,995.98
1/24/2012 10:00,54.66,211.55,720.91
1/24/2012 11:00,54.62,213.56,639.06
1/24/2012 12:00,58.18,215.59,571.62
1/24/2012 13:00,56.37,221.21,433.49
1/24/2012 14:00,56.94,224.45,415.97
1/24/2012 15:00,56.38,218.03,402.46
1/24/2012 16:00,54.39,204.77,358.84
1/24/2012 17:00,51.03,185.09,300.99
1/24/2012 18:00,50.79,134.56,313.18
1/24/2012 19:00,50.77,116.66,210.04
1/24/2012 20:00,49.34,109.83,223.79
1/24/2012 21:00,49.38,109.91,305.33
1/24/2012 22:00,48.89,107.59,322.89
1/24/2012 23:00,48.82,108.48,313.7
1/25/2012 0:00,48.38,108.62,369.8
1/25/2012 1:00,49.11,111.99,474.8
1/25/2012 2:00,50.58,114.57,555.2
1/25/2012 3:00,51.21,113.91,581.45
1/25/2012 4:00,51.74,139.42,799.56
1/25/2012 5:00,50.72,145.52,1085
1/25/2012 6:00,50.08,154.38,1234.89
1/25/2012 7:00,48.86,167.31,1094.29
1/25/2012 8:00,50.61,186.98,817.32
1/25/2012 9:00,57.15,203.38,554.23
1/25/2012 10:00,72.41,210.69,544.48
1/25/2012 11:00,77.98,212.2,556.3
1/25/2012 12:00,73.59,215.97,489.8
1/25/2012 13:00,61.62,215.48,460.17
1/25/2012 14:00,61.95,217.36,398.81
1/25/2012 15:00,62.52,215.18,339.69
1/25/2012 16:00,62.24,206.47,351.03
1/25/2012 17:00,58.07,184.04,310.76
1/25/2012 18:00,55.37,135.33,255.15
1/25/2012 19:00,55.45,119.54,192.09
1/25/2012 20:00,53.97,111.87,186.6
